event_ticker,prompt,answer_options,model_output
KXNHLTOTAL-25DEC16VANNYR,How many total goals will be scored in the Vancouver vs New York game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 3.5 goals scored
KXNHLTOTAL-25DEC16UTABOS,What will be the total number of goals scored in the Utah vs Boston game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 3.5 goals scored
KXNHLTOTAL-25DEC16PHIMTL,How many total points will be scored in the Philadelphia vs Montreal game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 4.5 goals scored
KXNHLTOTAL-25DEC16NYIDET,How many total goals will be scored in the New York I vs Detroit game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 3.5 goals scored
KXNHLTOTAL-25DEC16CHITOR,How many total goals will be scored in the Chicago vs Toronto game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 3.5 goals scored
KXNHLTOTAL-25DEC16ANACBJ,What will be the total number of goals scored in the Anaheim vs Columbus game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 3.5 goals scored
KXNHLSPREAD-25DEC16VANNYR,"Which team will win by more than a certain number of goals, and by how many goals will they win?","Vancouver wins by over 2.5 goals, Vancouver wins by over 1.5 goals, New York R wins by over 2.5 goals, New York R wins by over 1.5 goals",Vancouver wins by over 1.5 goals
KXNHLSPREAD-25DEC16UTABOS,"Which team will win by more than 2.5 goals, Utah or Boston?","Utah wins by over 2.5 goals, Utah wins by over 1.5 goals, Boston wins by over 2.5 goals, Boston wins by over 1.5 goals",Utah wins by over 2.5 goals
KXNHLSPREAD-25DEC16PHIMTL,Which team will win and by how many goals?,"Philadelphia wins by over 2.5 goals, Philadelphia wins by over 1.5 goals, Montreal wins by over 2.5 goals, Montreal wins by over 1.5 goals",Philadelphia wins by over 1.5 goals
KXNHLSPREAD-25DEC16NYIDET,Will New York I or Detroit win by more than 1.5 or 2.5 goals?,"New York I wins by over 2.5 goals, New York I wins by over 1.5 goals, Detroit wins by over 2.5 goals, Detroit wins by over 1.5 goals",New York I wins by over 1.5 goals
KXNHLSPREAD-25DEC16CHITOR,"Will Toronto or Chicago win, and by how many goals?","Toronto wins by over 2.5 goals, Toronto wins by over 1.5 goals, Chicago wins by over 2.5 goals, Chicago wins by over 1.5 goals",Toronto wins by over 1.5 goals
