event_ticker,prompt,answer_options,model_output
KXNFLEXACTWINSWAS-25,How many games will the Washington pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 4 wins
KXNFLEXACTWINSTEN-25,How many games will the Tennessee pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 6 wins
KXNFLEXACTWINSTB-25,How many games will the Tampa Bay pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSSF-25,How many games will the San Francisco pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 10 wins
KXNFLEXACTWINSSEA-25,How many games will the Seattle pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSPIT-25,How many games will the Pittsburgh pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 10 wins
KXNFLEXACTWINSPHI-25,How many games will the Philadelphia pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 11 wins
KXNFLEXACTWINSNYJ-25,How many games will the New York professional football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 8 wins
KXNFLEXACTWINSNYG-25,How many games will the New York pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 7 wins
KXNFLEXACTWINSNO-25,How many games will the New Orleans pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSNE-25,How many games will the New England pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 4 wins
KXNFLEXACTWINSMIN-25,How many games will the Minnesota pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSMIA-25,How many games will the Miami pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 10 wins
KXNFLEXACTWINSLV-25,How many games will the Las Vegas pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 8 wins
KXNFLEXACTWINSLAC-25,How many games will the Los Angeles C pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSLA-25,How many games will the Los Angeles professional football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSKC-25,How many games will the Kansas City pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 11 wins
KXNFLEXACTWINSJAC-25,How many games will the Jacksonville pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSIND-25,How many games will the Indianapolis pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 8 wins
KXNFLEXACTWINSHOU-25,How many games will the Houston pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSGB-25,How many games will the Green Bay pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSDET-25,How many games will the Detroit pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSDEN-25,How many games will the Denver pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSDAL-25,How many games will the Dallas pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 12 wins
KXNFLEXACTWINSCLE-25,How many games will the Cleveland pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSCIN-25,How many games will the Cincinnati pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 9 wins
KXNFLEXACTWINSCHI-25,How many games will the Chicago pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 7 wins
KXNFLEXACTWINSCAR-25,How many games will the Carolina pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 5 wins
KXNFLEXACTWINSBUF-25,How many games will the Buffalo pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 11 wins
KXNFLEXACTWINSBAL-25,How many games will the Baltimore pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 10 wins
KXNFLEXACTWINSATL-25,How many games will the Atlanta pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 8 wins
KXNFLEXACTWINSARI-25,How many games will the Arizona pro football team win this season?,"Exactly 9 wins, Exactly 8 wins, Exactly 7 wins, Exactly 6 wins, Exactly 5 wins, Exactly 4 wins, Exactly 3 wins, Exactly 2 wins, Exactly 17 wins, Exactly 16 wins, Exactly 15 wins, Exactly 14 wins, Exactly 13 wins, Exactly 12 wins, Exactly 11 wins, Exactly 10 wins, Exactly 1 win, Exactly 0 wins",Exactly 8 wins
KXMRBEASTMENTION-26JAN15,What word will MrBeast say during his next YouTube video?,"Win, Water, Time, Subscribe, Saudi Arabia, Prize, Money, Million, Insane, Feastable, Contestant, Challenge, Car, Billion, Beast",Subscribe
KXRAINSFOM-25DEC,How much rain will fall in San Francisco in December 2025?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 3 inches
